Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
DoDEA,282,25,▲,90,53
Massachusetts,268,11,▲,75,40
New Jersey,266,9,▲,73,38
Colorado,265,8,▲,74,35
New Hampshire,264,7,▲,74,34
Connecticut,263,6,▲,70,35
Indiana,262,5,▲,69,33
Illinois,262,5,▲,70,33
Utah,261,5,▲,72,31
Idaho,261,4,▲,71,32
Iowa,261,4,▲,72,31
Montana,261,4,▲,70,31
Ohio,260,4,▲,69,32
Wisconsin,260,3,♦,70,31
Minnesota,260,3,▲,71,28
Wyoming,260,3,▲,70,29
South Dakota,260,3,▲,70,29
Georgia,259,3,♦,68,31
Washington,259,3,♦,69,31
Pennsylvania,259,2,♦,69,31
Tennessee,259,2,♦,68,31
Maryland,258,2,♦,66,33
Kentucky,258,1,♦,67,29
Rhode Island,258,1,♦,66,30
North Dakota,257,1,♦,68,25
Hawaii,257,1,♦,67,29
Vermont,257,1,♦,67,29
New York,257,#,♦,65,31
National public,257,†,,66,29
Louisiana,257,#,♦,66,27
Virginia,256,#,♦,66,29
Nebraska,256,-1,♦,67,27
Kansas,255,-1,♦,66,25
Missouri,255,-1,♦,65,26
Michigan,255,-2,♦,65,24
Maine,255,-2,♦,65,26
North Carolina,255,-2,♦,65,27
Oregon,255,-2,♦,65,27
Arkansas,255,-2,♦,65,25
California,254,-2,♦,63,28
Arizona,254,-2,♦,65,25
South Carolina,254,-3,▼,64,26
Mississippi,253,-3,▼,64,23
Nevada,253,-3,▼,62,26
Florida,253,-4,▼,63,25
Texas,252,-4,▼,61,25
District of Columbia,251,-5,▼,58,25
Alabama,250,-7,▼,59,21
Delaware,249,-7,▼,59,23
Oklahoma,249,-8,▼,59,20
West Virginia,247,-9,▼,58,21
Alaska,246,-10,▼,57,22
New Mexico,245,-12,▼,54,19
Puerto Rico,—,†,,—,—
