Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
DoDEA,291,19,▲,81,41
Massachusetts,283,11,▲,68,37
Wisconsin,283,10,▲,69,37
Minnesota,282,10,▲,71,34
Utah,282,10,▲,70,35
New Jersey,282,9,▲,65,37
South Dakota,281,9,▲,71,33
Nebraska,280,8,▲,69,32
North Dakota,280,8,▲,71,29
New Hampshire,280,8,▲,69,32
Montana,279,7,▲,68,32
Ohio,279,7,▲,65,32
Wyoming,278,6,▲,68,30
Indiana,278,6,▲,67,31
Colorado,278,6,▲,65,32
Idaho,278,6,▲,67,31
Illinois,277,5,▲,62,32
Connecticut,277,4,▲,63,32
Pennsylvania,276,4,▲,63,31
Tennessee,276,4,♦,62,31
North Carolina,276,4,▲,62,31
Vermont,276,3,▲,64,29
Virginia,275,3,♦,63,29
Iowa,275,3,▲,65,27
Kansas,274,2,♦,63,26
Washington,274,1,♦,59,30
Maine,273,#,♦,61,25
National public,272,†,,59,27
New York,271,-1,♦,58,26
Kentucky,271,-1,♦,58,24
Missouri,270,-2,♦,59,23
Hawaii,270,-2,▼,58,23
Michigan,270,-2,♦,57,24
Rhode Island,270,-2,▼,57,26
Arizona,270,-3,♦,57,26
Texas,269,-3,♦,56,24
Mississippi,269,-3,▼,57,22
California,269,-3,▼,54,25
Georgia,269,-4,▼,56,24
Maryland,268,-4,▼,54,25
South Carolina,268,-4,▼,55,24
Oregon,268,-4,▼,55,24
Florida,267,-5,▼,55,21
Louisiana,267,-5,▼,54,21
Arkansas,266,-6,▼,54,20
Nevada,265,-7,▼,52,20
Oklahoma,264,-8,▼,53,17
Alaska,264,-8,▼,54,22
Delaware,263,-9,▼,51,19
Alabama,262,-10,▼,50,18
District of Columbia,262,-11,▼,46,20
West Virginia,261,-11,▼,48,18
New Mexico,256,-16,▼,42,14
Puerto Rico,216,-56,▼,5,#
